Artifact Name,Category,Media Format,Storage Estimate (MB),Cultural Significance,Selection Justification (Inferred),Source
Mathematical and physical quantities,Image,Raster scan (Analogue),0.1,"Represents the fundamental language of science and physical constants shared across the universe, anchoring 21st-century human knowledge in objective reality.",Selected to establish a baseline for communication with extraterrestrial intelligence using universal scientific principles.,1
DNA,Image,Raster scan (Analogue),0.1,"Identifies the biological blueprint of all known life on Earth, reflecting our community's shared heritage and origin.",Included to provide information on the biological makeup of the life forms that created the record.,1
Human anatomy and reproduction,Image,Raster scan (Analogue),0.1,"Portrays the physical essence and biological continuity of humanity, essential to our identity as a species.",Necessary for extraterrestrials to understand the physiology and life cycle of the human species.,1
Architecture,Image,Raster scan (Analogue),0.1,"Showcases human ingenuity, aesthetic values, and the development of civilizational structures over time.",Included to illustrate how humans modify their environment and express culture through physical structures.,1
Songs of Humpback Whales,Sound,Audio (16 2/3 rpm),5.0,Highlights Earth's non-human intelligence and the interconnectedness of our planet's diverse ecosystem.,Selected to represent the ecological diversity of Earth beyond the human experience.,1
Johnny B. Goode,Sound,Audio (16 2/3 rpm),3.5,Represents the vibrancy of 20th and 21st-century popular culture and the energy of human creative expression.,Chosen despite controversy to represent the 'adolescent' and energetic spirit of human musical evolution.,1
Greetings in 55 Languages,Sound,Audio (16 2/3 rpm),4.0,Displays the immense linguistic diversity of Earth and the fundamental human desire to reach out and communicate.,Essential for conveying a message of peace and a desire for connection from a variety of human cultures.,1
Brainwaves of Ann Druyan,Sound,Audio (Compressed),1.5,"Captures the internal subjective experience of a human mind, including thoughts on history and the feeling of falling in love.",Included to send a representation of human consciousness and internal experience into space.,1
Diagram of vertebrate evolution,Diagram,Raster scan (Analogue),0.1,"Maps our biological relationship to other life forms on the planet, defining our place in the natural order.",Selected to explain the evolutionary history and physiological traits of terrestrial vertebrates.,1
Pulsar map,Diagram,Etched (Copper disk),0.01,"Provides the cosmic address of Earth, reflecting our species' emerging role as a space-faring civilization.",Crucial for locating the origin of the spacecraft for any civilization that discovers it.,1
Hydrogen molecule diagram,Diagram,Etched (Copper disk),0.01,"Uses the simplest element as a universal unit of measurement, representing the shared physical reality of the cosmos.",Used to establish a common unit of time and distance for decoding the record's content.,1
President Jimmy Carter's Message,Text,Printed (Encoding),0.05,"A formal statement of human hope and intent, speaking for the global community of the late 20th century.",Provides official context and a diplomatic greeting from the nation that launched the probe.,1
